"","method","distance","name","outcome","estimate","p.value","s.value","conf.low","conf.high","statistic","std.error","Matching"
"4","nearest","euclidean","euclidean","Output (real value)",-0.0548437772760278,0.397010893371419,1.33274950163169,-0.181756905200606,0.0720693506485508,-0.846971704148924,0.0647527857275201,"Euclidean"
"5","nearest","euclidean","euclidean","Land (ha)",-0.15395614323179,0.00372369408848277,8.06904972818774,-0.257983423932158,-0.0499288625314218,-2.90066695871952,0.0530761185006062,"Euclidean"
"6","nearest","euclidean","euclidean","Planting materials (real value)",-0.417092064297691,0.24386827818084,2.03582598696875,-1.11857204927941,0.284387920684027,-1.16537241512635,0.357904528100977,"Euclidean"
"7","nearest","euclidean","euclidean","Household labor (AE)",0.0271744781251567,0.613751704809857,0.704272968099852,-0.0783502217956951,0.132699178046008,0.504725419394006,0.0538401219375546,"Euclidean"
"8","nearest","euclidean","euclidean","Hired labor (man-days/ha)",0.627849817489336,0.0676704677087952,3.88532982991311,-0.0456213146021881,1.30132094958086,1.82719491800268,0.343614034443377,"Euclidean"
"9","nearest","euclidean","euclidean","Fertilizer (Kg/ha)",-0.515696282508309,0.165942715735615,2.59124279299603,-1.24528776571438,0.213895200697761,-1.38535901794785,0.372247392789355,"Euclidean"
"10","nearest","euclidean","euclidean","Pesticide (Liter/ha)",-0.116668210973179,0.714793899105891,0.484400774116294,-0.742419744520453,0.509083322574094,-0.365425379546237,0.319266853107058,"Euclidean"
"14","nearest","scaled_euclidean","scaled_euclidean","Output (real value)",-0.0553980318383242,0.390184327872282,1.35777226300657,-0.181757020069226,0.070960956392578,-0.859283132428287,0.0644700561987903,"Euclidean - scaled"
"15","nearest","scaled_euclidean","scaled_euclidean","Land (ha)",-0.0210661071043122,0.688670920223829,0.538113335724081,-0.124118258586966,0.0819860443783414,-0.400659380953005,0.0525785944514878,"Euclidean - scaled"
"16","nearest","scaled_euclidean","scaled_euclidean","Planting materials (real value)",-0.174884006132222,0.61025263487257,0.712521475779117,-0.847353495157968,0.497585482893525,-0.509712870375467,0.343102982672182,"Euclidean - scaled"
"17","nearest","scaled_euclidean","scaled_euclidean","Household labor (AE)",-0.0617297798389351,0.265743909170456,1.91189146920917,-0.170442381492689,0.0469828218148185,-1.11291739336018,0.0554666323010345,"Euclidean - scaled"
"18","nearest","scaled_euclidean","scaled_euclidean","Hired labor (man-days/ha)",1.31843433699391,0.000113081492792617,13.1103495460759,0.649096894272463,1.98777177971536,3.8606592901518,0.341504970500018,"Euclidean - scaled"
"19","nearest","scaled_euclidean","scaled_euclidean","Fertilizer (Kg/ha)",0.0649437115932251,0.860180482833555,0.217288697432607,-0.657686811465457,0.787574234651908,0.176144421918836,0.368695817249041,"Euclidean - scaled"
"20","nearest","scaled_euclidean","scaled_euclidean","Pesticide (Liter/ha)",0.153805614034338,0.628788555116626,0.669353136239242,-0.469763048462631,0.777374276531307,0.483432671103539,0.318153122922462,"Euclidean - scaled"
"24","nearest","mahalanobis","mahalanobis","Output (real value)",-0.0426874380989847,0.498693956654718,1.00377337485425,-0.166353564182192,0.0809786879842231,-0.676546148215227,0.0630961216933936,"Mahalanobis]"
"25","nearest","mahalanobis","mahalanobis","Land (ha)",-0.0338376951601995,0.516970112687565,0.951847217681384,-0.136180775417636,0.068505385097237,-0.64802294074999,0.052216816770464,"Mahalanobis]"
"26","nearest","mahalanobis","mahalanobis","Planting materials (real value)",0.018264066878418,0.957841224328897,0.062141566125937,-0.658902359713707,0.695430493470543,0.0528627998778379,0.345499423424883,"Mahalanobis]"
"27","nearest","mahalanobis","mahalanobis","Household labor (AE)",-0.0450547552303561,0.403401876976662,1.30971029824779,-0.150739068076233,0.0606295576155207,-0.835561070568202,0.0539215585998014,"Mahalanobis]"
"28","nearest","mahalanobis","mahalanobis","Hired labor (man-days/ha)",1.08044012295281,0.00168099227192103,9.21647119262033,0.40635428484302,1.75452596106259,3.14147488156343,0.343927665725948,"Mahalanobis]"
"29","nearest","mahalanobis","mahalanobis","Fertilizer (Kg/ha)",-0.0147304733614689,0.968561684197919,0.0460841630927979,-0.747273538582038,0.7178125918591,-0.0394122866414858,0.373753329652369,"Mahalanobis]"
"30","nearest","mahalanobis","mahalanobis","Pesticide (Liter/ha)",0.303060629871205,0.33347942511982,1.5843303415533,-0.311115727589018,0.917236987331428,0.9671292495463,0.313361042501172,"Mahalanobis]"
"34","nearest","robust_mahalanobis","robust_mahalanobis","Output (real value)",0.0044778223427933,0.944002726364145,0.0831370686621614,-0.120470703659344,0.12942634834493,0.0702398883912688,0.0637504193891903,"Mahalanobis- scaled"
"35","nearest","robust_mahalanobis","robust_mahalanobis","Land (ha)",-0.0138173528952948,0.791082528986596,0.338099884451186,-0.116048335502118,0.0884136297115286,-0.264905152487994,0.0521596230406316,"Mahalanobis- scaled"
"36","nearest","robust_mahalanobis","robust_mahalanobis","Planting materials (real value)",-0.217391309929795,0.526319518433789,0.925989197063157,-0.889828307014225,0.455045687154636,-0.633634288211069,0.343086404846481,"Mahalanobis- scaled"
"37","nearest","robust_mahalanobis","robust_mahalanobis","Household labor (AE)",0.0207382009854896,0.695218279927463,0.524462078307573,-0.083008230417963,0.124484632388942,0.39178337496397,0.052932825409952,"Mahalanobis- scaled"
"38","nearest","robust_mahalanobis","robust_mahalanobis","Hired labor (man-days/ha)",1.29407043964837,0.000253226119917215,11.9472861551486,0.600889559184319,1.98725132011242,3.65897491787536,0.353670213295639,"Mahalanobis- scaled"
"39","nearest","robust_mahalanobis","robust_mahalanobis","Fertilizer (Kg/ha)",-0.300815266064284,0.406013259644038,1.30040125094902,-1.01036624381804,0.408735711689473,-0.830929849962719,0.362022457224013,"Mahalanobis- scaled"
"40","nearest","robust_mahalanobis","robust_mahalanobis","Pesticide (Liter/ha)",0.3948348064007,0.220448895228662,2.18148384792746,-0.236716386113221,1.02638599891462,1.22533534820482,0.322225917157415,"Mahalanobis- scaled"
"44","nearest","glm","logit","Output (real value)",-0.0678838444824177,0.251785955001213,1.98973028528249,-0.183980973390469,0.0482132844256339,-1.14602222784537,0.0592343174792042,"Logit"
"45","nearest","glm","logit","Land (ha)",-0.0970543646337311,0.0536704494915517,4.21972821900086,-0.195641747081801,0.00153301781433937,-1.92948686232468,0.050300609207983,"Logit"
